name,data
English,en eng Englisch
German,de deu ger Deutsch
Arabic,ar ara Arabisch
Chinese,zh chi zho Chinesisch
Danish,da dan Dänisch
Dutch,nl nld dut Niederländisch
French,fr fre fra Französisch
Greek,el ell gre Griechisch
Hebrew,he heb Hebräisch
Hindi,hi hin
Italian,it ita Italienisch
Japanese,ja jpn Japanisch
Latin,la lat Latein
Middle Dutch,dum Mittelniederländisch
Portuguese,pt por Portugiesisch
Romanian,ro rom rum Rumänisch
Russian,ru rus Russisch
Serbian,sr srp scc Serbisch
Slovenien,sl slv Slowenisch
Spanish,es spa Spanisch
Swedish,sv swe Schwedisch
Turkish,tr tur Türkisch
Ukrainian,uk ukr Ukrainisch
Old Church Slavonic,chu cu Altkirchenslawisch
Czech,cze ces cs Tschechisch
Old High German,goh Althochdeutsch
Ancient Greek,grc Altgriechisch
Hungarian,hun hu Ungarisch
Low German,nds Plattdeutsch
Old English,ang Altenglisch
Polish,pol pl Polnisch
Syriac,syr Syrisch
Undetermined,und Unbekannt
Not Applicable,zxx
