name,data
AGPL-3.0-only,https://spdx.org/licenses/AGPL-3.0-only.html
AGPL-3.0-or-later,https://spdx.org/licenses/AGPL-3.0-or-later.html
Apache-2.0,https://spdx.org/licenses/Apache-2.0
BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause
GPL-3.0-only,https://spdx.org/licenses/GPL-3.0-only.html
GPL-3.0-or-later,https://spdx.org/licenses/GPL-3.0-or-later.html
MIT,https://spdx.org/licenses/MIT
ODbL-1.0,https://spdx.org/licenses/ODbL-1.0
Zlib,https://spdx.org/licenses/Zlib.html
zlib-acknowledgement,https://spdx.org/licenses/zlib-acknowledgement
CC-PDDC,https://spdx.org/licenses/CC-PDDC
CC0-1.0,https://spdx.org/licenses/CC0-1.0
CC-BY-3.0,https://spdx.org/licenses/CC-BY-3.0
CC-BY-4.0,https://spdx.org/licenses/CC-BY-4.0
CC-BY-NC-3.0,https://spdx.org/licenses/CC-BY-NC-3.0
CC-BY-NC-4.0,https://spdx.org/licenses/CC-BY-NC-4.0
CC-BY-ND-3.0,https://spdx.org/licenses/CC-BY-ND-3.0
CC-BY-ND-4.0,https://spdx.org/licenses/CC-BY-ND-4.0
CC-BY-SA-3.0,https://spdx.org/licenses/CC-BY-SA-3.0
CC-BY-SA-4.0,https://spdx.org/licenses/CC-BY-SA-4.0
CC-BY-NC-SA-3.0,https://spdx.org/licenses/CC-BY-NC-SA-3.0
CC-BY-NC-SA-4.0,https://spdx.org/licenses/CC-BY-NC-SA-4.0
CC-BY-NC-ND-3.0,https://spdx.org/licenses/CC-BY-NC-ND-3.0
CC-BY-NC-ND-4.0,https://spdx.org/licenses/CC-BY-NC-ND-4.0
Public Domain,https://creativecommons.org/publicdomain/mark/1.0/
In Copyright,https://rightsstatements.org/vocab/InC/1.0/
InC-OW-EU-1.0,http://rightsstatements.org/vocab/InC-OW-EU/1.0/
InC-EDU-1.0,https://rightsstatements.org/vocab/InC-EDU/1.0/
InC-RUU-1.0,https://rightsstatements.org/vocab/InC-RUU/1.0/
InC-NC-1.0,https://rightsstatements.org/vocab/InC-NC/1.0/
NoC-CR-1.0,https://rightsstatements.org/vocab/NoC-CR/1.0/
NoC-NC-1.0,https://rightsstatements.org/vocab/NoC-NC/1.0/
NoC-OKLR-1.0,https://rightsstatements.org/vocab/NoC-OKLR/1.0/
NoC-US-1.0,https://rightsstatements.org/vocab/NoC-US/1.0/
CNE-1.0,https://rightsstatements.org/vocab/CNE/1.0/
UND-1.0,https://rightsstatements.org/vocab/UND/1.0/
NKC-1.0,https://rightsstatements.org/vocab/NKC/1.0/
